customer_id,treatment,contract_value_per_month,contract_duration_months,feature_usage_count,days_since_last_login,api_calls_30d,seats_purchased,seats_active,support_tickets,csat_score,industry,company_size,integrations_enabled,onboarding_completed,churned
B2B00046,0,499,5,30,16,1105,10,5,3,84.97221805243672,Finance,11-50,6,1,0
B2B00047,1,499,6,23,6,59,5,3,4,54.10621555335292,Technology,1000+,0,1,0
B2B00048,0,99,9,20,3,1247,50,34,0,72.03074821697716,Finance,11-50,3,1,0
B2B00049,0,199,16,31,43,91,250,242,1,97.93558446906871,Finance,51-200,3,0,0
B2B00050,0,99,22,16,10,9,5,3,1,76.66895025958893,Retail,1-10,3,1,0
B2B00051,0,99,19,17,0,127,5,2,2,85.57002330520184,Retail,11-50,4,0,0
B2B00052,0,99,13,27,9,237,10,8,1,50.475339396940186,Other,11-50,2,1,0
B2B00053,1,999,7,26,9,84,10,8,0,46.42761584448499,Finance,201-1000,3,1,0
B2B00054,0,199,15,30,6,50,50,35,2,60.97438306232951,Other,51-200,1,0,0
B2B00055,0,499,12,24,3,20,50,34,1,84.7766598040846,Retail,51-200,2,1,0
B2B00056,0,99,14,26,22,8,5,2,2,69.73383666943718,Healthcare,1-10,5,1,0
B2B00057,1,999,8,30,13,98,5,2,3,70.45348275461967,Technology,51-200,3,1,0
B2B00058,1,199,7,25,6,60,50,35,0,49.86582176673305,Finance,51-200,0,1,0
B2B00059,0,499,11,41,3,7,10,6,0,52.05402715640363,Finance,51-200,1,1,0
B2B00060,1,99,1,28,4,205,5,4,1,67.89216988985054,Other,201-1000,2,1,0
B2B00061,0,499,22,26,3,209,25,20,1,75.7176621558022,Healthcare,51-200,2,0,0
B2B00062,0,199,6,8,8,318,50,20,3,94.45319198638504,Healthcare,51-200,2,0,1
B2B00063,1,499,13,29,20,626,5,4,1,79.79100011520127,Finance,11-50,0,1,0
B2B00064,0,99,4,23,12,102,50,39,2,66.68844148851728,Healthcare,51-200,1,0,0
B2B00065,0,99,1,21,2,314,5,4,4,64.99827378967967,Healthcare,1000+,1,1,0
B2B00066,0,999,13,26,3,3342,5,2,3,91.10839257344674,Retail,51-200,1,1,0
B2B00067,1,99,19,24,14,168,5,2,2,74.19990974878819,Retail,1000+,2,1,0
B2B00068,0,99,22,23,20,1,5,2,0,85.26155231967878,Finance,1-10,4,1,0
B2B00069,0,99,4,30,3,23,5,2,5,91.99072498905176,Technology,1-10,2,0,0
B2B00070,0,499,9,32,4,1463,5,4,1,46.65544931459776,Retail,11-50,5,1,0
B2B00071,0,999,13,30,0,457,25,24,4,81.2988352200447,Other,1-10,2,1,0
B2B00072,0,499,6,17,10,68,25,20,0,73.83710749588359,Finance,11-50,0,0,0
B2B00073,0,199,5,33,0,55,25,16,0,85.38976114452929,Finance,201-1000,4,0,0
B2B00074,0,199,3,31,22,51,25,15,5,80.13226896005506,Retail,51-200,4,0,0
B2B00075,0,99,9,28,1,39,5,2,1,69.63738056298766,Finance,201-1000,2,0,0
B2B00076,0,199,12,16,0,248,25,23,0,71.94481281075372,Healthcare,201-1000,2,1,0
B2B00077,1,999,3,31,1,244,50,34,1,69.26733723821074,Retail,11-50,2,1,0
B2B00078,1,199,10,27,15,147,10,8,1,77.10855347973916,Retail,1000+,3,0,0
B2B00079,1,99,13,20,5,22,10,5,2,66.50826477733013,Other,51-200,5,1,0
B2B00080,0,199,5,28,15,2784,25,21,3,80.243110449959,Healthcare,11-50,0,1,0
B2B00081,1,199,8,27,1,896,25,19,2,81.65823432182148,Healthcare,1-10,0,1,0
B2B00082,1,499,10,26,8,6420,10,7,1,74.52337680859145,Healthcare,51-200,3,0,0
B2B00083,0,499,14,28,12,73,10,9,0,88.30061207022723,Technology,51-200,1,0,0
B2B00084,1,999,6,22,3,194,10,4,0,78.10210052383209,Other,51-200,4,1,0
B2B00085,0,99,10,23,12,164,10,4,3,77.30483687978497,Other,51-200,0,1,0
B2B00086,0,999,2,26,4,21,250,159,1,79.33477191749454,Finance,1000+,0,0,0
B2B00087,0,1999,4,30,5,118,25,18,2,56.75223580216675,Technology,201-1000,5,1,0
B2B00088,0,199,9,27,21,16956,10,4,3,69.36860231023515,Retail,11-50,1,1,0
B2B00089,0,499,7,25,4,179,50,21,1,54.55188422833073,Healthcare,11-50,2,1,0
B2B00090,1,199,16,28,10,6067,5,4,3,88.50593363932272,Technology,1-10,5,1,0
B2B00091,0,999,17,33,16,52,5,2,0,65.57903525598539,Healthcare,11-50,1,1,0
B2B00092,0,199,7,22,0,89,25,13,2,88.09478298188179,Finance,51-200,1,1,0
B2B00093,0,99,12,30,1,7839,50,24,0,66.50262753131287,Finance,1-10,1,0,1
B2B00094,0,499,22,15,4,177,25,16,0,88.55792045542418,Retail,51-200,3,1,0
B2B00095,1,199,9,19,2,238,10,5,0,82.9882012917855,Retail,51-200,1,1,0
B2B00096,0,999,22,23,4,1046,100,93,0,86.3963969057892,Retail,11-50,1,1,0
B2B00097,0,499,8,19,4,84,10,7,1,76.8779651669537,Healthcare,201-1000,3,1,0
B2B00098,0,1999,1,21,1,85,50,31,2,78.57749879805674,Technology,11-50,2,1,0
B2B00099,1,99,10,29,3,217,5,3,0,77.26487561936393,Technology,51-200,2,1,0
B2B00100,0,999,15,22,5,96,25,23,1,93.71595234858925,Other,1000+,4,1,0
B2B00101,0,99,9,29,5,443,10,5,1,79.43314728234034,Retail,201-1000,2,1,0
B2B00102,0,99,28,24,2,1262,25,18,4,65.44044032130346,Technology,11-50,2,1,0
B2B00103,1,99,30,17,3,8,10,9,1,84.54405020303228,Finance,1-10,3,0,0
B2B00104,0,199,16,23,0,2863,10,4,1,82.94606564765435,Other,11-50,1,1,0
B2B00105,0,99,5,26,8,283,25,20,1,74.2035447923168,Healthcare,11-50,3,0,0
B2B00106,0,1999,6,29,8,540,50,34,3,30.52659965353798,Retail,51-200,1,0,0
B2B00107,1,999,12,28,3,1248,25,22,1,95.16478780157743,Retail,51-200,3,1,0
B2B00108,0,199,4,29,2,1554,5,2,1,69.76677684701531,Other,1000+,2,1,0
B2B00109,1,99,19,25,6,1338,10,8,1,69.24627861554715,Healthcare,51-200,1,1,0
B2B00110,0,4999,23,18,4,8,10,5,0,66.96925359423335,Other,11-50,2,1,0
B2B00111,0,1999,7,24,12,70,25,21,6,89.17451503816237,Other,1000+,3,1,0
B2B00112,0,199,15,22,4,3202,5,2,3,80.25044664450141,Healthcare,11-50,2,1,0
B2B00113,0,999,2,19,1,24,5,3,2,77.66946775671181,Technology,51-200,2,1,0
B2B00114,0,499,15,35,0,592,5,4,1,61.005376514018316,Technology,51-200,1,1,0
B2B00115,0,99,4,27,1,1746,10,8,1,51.43001557011667,Technology,51-200,4,1,0
B2B00116,0,199,12,26,2,165,5,4,2,85.86128406839927,Other,1-10,2,1,0
B2B00117,0,199,11,30,2,239,5,4,0,75.26492760704498,Healthcare,1000+,1,1,0
B2B00118,1,499,14,16,1,11,10,5,1,91.60945521553141,Finance,1-10,2,1,0
B2B00119,1,99,9,17,2,17,5,2,0,89.9924681448193,Healthcare,51-200,4,1,0
B2B00120,1,99,10,18,1,383,5,3,2,94.75259499211984,Finance,1-10,2,1,0
B2B00121,0,199,6,31,2,1770,5,3,3,63.107691938983635,Finance,1-10,0,1,0
B2B00122,0,199,14,21,11,56,25,15,2,87.00316706388313,Technology,51-200,2,1,0
B2B00123,1,4999,7,27,3,4950,5,4,2,91.19224659336984,Other,11-50,1,1,0
B2B00124,1,99,6,29,6,736,100,79,1,91.23985133167758,Healthcare,1-10,5,0,0
B2B00125,0,999,23,30,18,64,10,9,0,75.7853497848987,Other,1-10,2,0,0
B2B00126,1,499,5,31,4,3117,100,84,0,85.44292125940389,Technology,11-50,1,1,0
B2B00127,0,99,6,27,20,1354,5,2,1,55.76757431568251,Technology,1000+,1,1,0
B2B00128,0,999,14,16,0,5,10,5,2,49.65651597635044,Healthcare,51-200,2,1,0
B2B00129,0,499,6,26,16,332,5,2,1,82.59568538226918,Healthcare,1-10,2,1,0
B2B00130,0,99,4,25,2,1448,25,17,0,88.53938775840952,Finance,11-50,1,0,0
B2B00131,0,499,1,23,6,18,25,24,1,69.65689068205788,Other,1000+,0,1,0
B2B00132,0,99,22,20,8,4,50,24,1,79.81814839394474,Other,1000+,3,1,0
B2B00133,0,499,28,17,0,78,100,63,1,92.43156681786803,Healthcare,11-50,4,1,0
B2B00134,0,499,14,22,1,0,10,7,1,87.75960794640793,Finance,11-50,1,1,0
B2B00135,0,1999,9,21,1,1558,5,3,1,34.95096587669113,Finance,11-50,3,0,0
B2B00136,0,199,3,20,15,257,5,3,3,80.13748161154038,Retail,51-200,0,1,0
B2B00137,0,199,12,17,11,20,250,174,1,93.62586169389544,Retail,1-10,1,1,0
B2B00138,0,499,8,29,4,603,5,4,0,56.59673837479059,Finance,51-200,1,1,0
B2B00139,0,199,14,21,2,57,250,136,2,79.72390494652359,Other,51-200,5,1,0
B2B00140,1,99,16,20,1,1012,5,4,1,80.77858667652579,Other,11-50,1,1,0
B2B00141,0,999,6,25,5,26,50,43,0,56.86190983210779,Technology,1000+,1,1,0
B2B00142,1,199,4,14,2,897,25,24,0,73.74852619510366,Technology,11-50,4,1,0
B2B00143,1,99,9,18,0,1291,10,6,1,87.49455382161582,Healthcare,11-50,1,1,0
B2B00144,1,499,25,26,8,29,5,3,5,93.03658689409832,Other,1-10,4,1,0
B2B00145,0,199,21,25,8,1653,25,20,6,71.39797969132222,Healthcare,51-200,1,1,0
B2B00146,0,4999,17,26,2,16,5,4,0,74.00358597103538,Other,51-200,2,0,0
B2B00147,1,499,19,25,3,39,25,11,0,78.09486507079075,Finance,51-200,3,1,0
B2B00148,1,499,13,23,9,357,5,3,3,76.01374327863597,Healthcare,201-1000,1,0,0
B2B00149,0,99,25,21,9,33,25,12,3,92.23434306333318,Healthcare,51-200,3,1,0
B2B00150,0,499,10,27,8,777,5,3,2,86.03786924119355,Technology,51-200,2,1,0
B2B00151,0,199,14,25,4,47,5,4,0,95.51563092812488,Finance,201-1000,2,0,1
B2B00152,0,4999,9,18,0,2315,5,4,0,84.69860637353972,Other,11-50,1,1,0
B2B00153,0,99,3,30,4,850,250,162,4,64.78160898322227,Technology,1-10,3,1,0
B2B00154,0,499,15,18,3,285,5,4,1,78.99661404617353,Finance,11-50,2,1,0
B2B00155,0,199,6,25,1,1087,25,23,1,62.37370498549918,Healthcare,51-200,1,1,0
B2B00156,1,199,10,22,0,958,10,6,3,95.11004766159076,Retail,1000+,1,1,0
B2B00157,0,999,13,25,1,102,10,5,0,81.40012727616862,Finance,1-10,3,0,0
B2B00158,0,999,6,29,12,2222,5,3,0,50.4941740986826,Retail,11-50,2,0,0
B2B00159,0,1999,23,27,0,6,10,7,1,74.0770699276693,Other,51-200,3,1,0
B2B00160,0,1999,2,26,4,18,25,13,0,90.48511678150885,Retail,1-10,3,1,0
B2B00161,0,199,2,23,0,2581,5,2,1,94.72464532266032,Finance,1-10,4,1,0
B2B00162,0,999,18,30,11,776,5,2,0,92.3003743156376,Technology,51-200,1,1,0
B2B00163,0,99,9,30,2,14,5,2,0,95.34984496508392,Technology,51-200,2,1,0
B2B00164,0,199,14,33,2,5,25,10,5,75.4461482466364,Retail,51-200,0,1,0
B2B00165,0,199,15,24,0,184,50,30,0,58.987631298266784,Other,51-200,2,1,0
B2B00166,0,199,2,21,20,242,5,4,0,65.10661662662949,Healthcare,51-200,3,1,0
B2B00167,0,999,12,27,2,54,25,24,2,84.72243568810508,Retail,201-1000,1,0,0
B2B00168,0,999,4,28,19,4686,5,4,0,77.61644037724858,Other,11-50,1,1,0
B2B00169,0,499,31,19,6,3880,25,16,5,85.74369682499393,Healthcare,51-200,4,1,0
B2B00170,0,99,7,18,0,11,10,8,5,68.77418637706629,Healthcare,11-50,7,1,0
B2B00171,0,99,7,37,1,226,50,22,5,67.29968316112881,Healthcare,1-10,4,0,0
B2B00172,0,999,5,18,7,50,10,9,1,62.97458471150325,Finance,51-200,1,1,0
B2B00173,1,999,6,16,4,95,10,5,0,75.12472069971156,Retail,51-200,3,1,0
B2B00174,0,99,3,20,3,161,5,3,0,63.0996084256222,Technology,51-200,3,1,0
B2B00175,0,199,12,19,5,153,5,3,1,90.7589355169205,Healthcare,51-200,1,1,0
B2B00176,0,4999,12,31,0,439,5,2,1,86.36042574176994,Finance,11-50,0,1,1
B2B00177,0,1999,10,23,0,22,10,6,0,74.99580763102585,Other,201-1000,1,1,0
B2B00178,1,99,28,34,3,233,5,4,5,97.89806950195063,Technology,51-200,7,0,0
B2B00179,0,999,14,22,8,38,25,22,0,73.76554443316039,Other,1-10,2,1,0
B2B00180,1,499,3,28,3,56,5,2,0,73.19885254524647,Healthcare,11-50,0,1,0
B2B00181,0,499,13,19,15,2188,5,4,1,89.86022305991938,Healthcare,1000+,4,1,0
B2B00182,0,99,8,27,1,30,10,6,3,67.00129292508552,Technology,51-200,2,1,0
B2B00183,0,99,31,25,6,94,25,19,3,73.10992740837573,Finance,51-200,5,1,0
B2B00184,0,499,10,17,1,956,10,8,0,86.75624942928228,Finance,201-1000,3,0,0
B2B00185,0,99,4,30,15,0,10,6,0,57.24014844005269,Healthcare,51-200,4,1,0
B2B00186,0,499,23,34,15,1345,5,3,0,71.34772359719877,Finance,51-200,2,1,0
B2B00187,0,499,17,26,6,4171,10,6,3,81.36506475119306,Technology,11-50,4,1,0
B2B00188,0,199,3,29,30,72,5,2,3,90.97202153933128,Technology,11-50,0,0,0
B2B00189,1,99,5,21,11,123,250,148,0,98.65130175996399,Technology,51-200,4,1,0
B2B00190,0,99,1,22,3,167,5,4,3,86.63019004628622,Retail,1-10,2,1,0
B2B00191,0,199,12,25,0,89,5,2,2,94.28171671365827,Finance,11-50,3,1,1
B2B00192,0,499,12,17,1,13911,50,48,0,64.76978501084902,Finance,51-200,1,1,0
B2B00193,0,99,8,22,9,11,25,13,1,78.70397859549199,Healthcare,11-50,1,1,0
B2B00194,0,499,8,30,1,19,25,23,2,82.70070649625598,Finance,11-50,3,1,0
B2B00195,0,99,20,30,0,13210,25,13,3,80.29308027446693,Other,201-1000,3,1,0
B2B00196,0,199,11,28,13,5636,50,36,0,88.46020829315326,Technology,201-1000,3,1,0
B2B00197,1,1999,13,28,15,9,10,4,1,88.87798446297583,Retail,1-10,3,1,0
B2B00198,0,199,11,27,6,1141,10,4,0,83.84660198152153,Finance,11-50,2,1,0
B2B00199,1,99,14,23,5,7,5,3,0,71.23117047110931,Finance,1-10,3,1,0
B2B00200,0,1999,1,28,3,36,10,5,3,69.35051016027212,Healthcare,1-10,2,0,0
B2B00201,0,199,29,26,5,194,5,2,0,40.26311651711243,Retail,51-200,3,1,0
B2B00202,1,499,12,24,7,121,5,2,0,67.83402536746176,Finance,1-10,1,0,0
B2B00203,0,199,21,27,10,611,5,3,1,74.01841284429628,Healthcare,11-50,3,0,0
B2B00204,1,499,19,28,1,39,25,15,3,73.28192726652564,Healthcare,201-1000,3,1,0
B2B00205,0,999,4,20,7,251,5,3,0,87.59458853786903,Technology,1-10,3,1,0
B2B00206,0,99,12,23,3,111,5,3,0,76.76694227029604,Retail,1000+,4,1,0
B2B00207,0,199,9,15,2,25,5,4,2,69.36148102378465,Finance,11-50,0,0,0
B2B00208,0,99,14,22,5,1,5,4,2,79.51404683292311,Other,11-50,4,1,0
B2B00209,0,199,50,24,3,105,5,3,0,84.14100777334166,Finance,1-10,2,1,0
B2B00210,0,99,11,27,9,561,100,70,0,69.59633484235816,Other,1000+,1,0,0
B2B00211,0,4999,2,15,2,5246,50,38,0,74.97170323742195,Other,201-1000,3,1,0
B2B00212,0,499,12,26,9,503,50,24,0,92.31552210615041,Other,201-1000,1,0,1
B2B00213,0,99,4,19,2,123,10,4,6,48.757515695876876,Retail,51-200,0,1,0
B2B00214,1,499,12,30,4,148,5,3,3,83.3432536339624,Technology,11-50,1,1,0
B2B00215,0,499,3,21,6,44,5,2,0,77.30087769649376,Other,11-50,3,1,0
B2B00216,0,99,35,23,3,42,5,2,1,89.77877190638817,Other,11-50,1,1,0
B2B00217,1,199,8,24,1,196,5,4,6,81.03584506598042,Healthcare,201-1000,2,0,0
B2B00218,0,999,25,34,7,284,25,13,0,83.4498523547498,Retail,51-200,0,1,0
B2B00219,0,199,25,27,8,13,25,16,4,82.76174822916865,Healthcare,201-1000,2,1,0
B2B00220,0,499,9,28,19,161,5,4,1,64.95571440996164,Retail,11-50,4,0,0
B2B00221,0,199,10,32,39,127,10,6,2,66.50813779523695,Finance,1-10,0,1,0
B2B00222,0,99,7,27,9,194,25,20,1,92.66339426481942,Healthcare,51-200,1,1,0
B2B00223,0,199,46,13,6,1426,25,19,1,52.952021645839274,Other,1000+,4,0,0
B2B00224,0,499,7,28,12,51,10,4,1,58.18249584246057,Healthcare,51-200,0,1,0
B2B00225,0,1999,22,29,27,308,25,19,0,73.7933222735276,Finance,11-50,0,1,0
B2B00226,0,999,13,22,5,182,5,3,3,61.85780816435958,Finance,1-10,1,1,0
B2B00227,1,99,10,19,4,324,50,31,1,70.68866012780919,Technology,201-1000,3,0,0
B2B00228,1,99,3,28,2,3189,50,43,0,52.770579961676766,Other,201-1000,3,0,0
B2B00229,0,99,9,28,7,99,5,2,0,85.43083481786688,Technology,11-50,3,1,0
B2B00230,0,499,12,17,20,16,5,2,0,73.72996474990242,Technology,201-1000,1,0,0
B2B00231,0,199,7,18,0,67,5,3,3,97.24390707134174,Healthcare,11-50,3,0,0
B2B00232,0,99,12,32,7,140,25,24,0,91.43698591761938,Healthcare,1000+,0,1,0
B2B00233,1,499,2,15,2,1510,5,3,1,76.26386906294273,Other,1-10,5,1,0
B2B00234,0,99,21,19,8,304,5,2,0,87.00051579276781,Technology,51-200,2,1,0
B2B00235,1,499,4,29,6,171,25,11,1,90.54934302150673,Retail,201-1000,3,1,0
B2B00236,1,499,8,32,1,19,10,4,0,94.91301241750323,Other,1-10,2,0,0
B2B00237,0,99,20,22,4,2490,25,18,0,47.51912791721846,Retail,51-200,1,1,0
B2B00238,1,99,1,16,4,15,5,3,2,65.10007005623541,Finance,51-200,2,1,0
B2B00239,1,199,19,21,0,1332,100,85,3,91.06314060368443,Other,1000+,6,1,0
B2B00240,0,99,10,22,15,809,5,2,1,74.92644006166064,Finance,201-1000,0,0,0
B2B00241,0,1999,12,30,8,7,5,4,6,67.26402503024984,Finance,1-10,1,1,0
B2B00242,0,999,9,28,0,7,10,6,0,73.90161614720584,Other,201-1000,2,1,0
B2B00243,0,999,7,28,10,3,5,4,3,50.17324488098568,Finance,11-50,0,1,0
B2B00244,0,99,11,27,2,23,5,3,3,76.55220452251041,Retail,1-10,3,0,0
B2B00245,0,499,9,22,0,872,10,6,4,88.45278125031261,Other,201-1000,1,1,0
B2B00246,1,4999,2,28,9,115,5,3,1,68.78273012031083,Healthcare,51-200,2,1,0
B2B00247,0,1999,9,27,4,22,5,3,3,74.14815874311907,Retail,1-10,1,1,0
B2B00248,0,999,1,25,7,14,25,22,1,85.77868699219991,Technology,201-1000,1,0,0
B2B00249,0,499,17,20,2,20,50,35,3,64.43758094750139,Technology,11-50,1,1,0
B2B00250,0,999,6,20,16,355,5,2,1,75.1186406440045,Healthcare,51-200,0,1,0
B2B00251,0,99,18,26,3,1307,50,38,3,65.32192607600301,Retail,11-50,0,1,0
B2B00252,0,999,23,26,13,285,250,122,4,71.61169580494654,Healthcare,1000+,3,1,0
B2B00253,0,499,2,21,4,308,5,2,1,66.86553070530462,Healthcare,11-50,3,1,0
B2B00254,0,99,17,22,8,238,5,4,0,93.04007814337658,Other,11-50,3,1,0
B2B00255,0,199,20,27,7,504,5,4,2,95.60878972966435,Healthcare,201-1000,3,1,0
B2B00256,0,1999,1,26,11,13,10,5,1,63.056428112397356,Retail,51-200,0,1,0
B2B00257,0,199,14,27,0,30,5,3,1,74.69155997036329,Retail,11-50,3,1,0
B2B00258,0,999,8,25,4,269,5,4,3,89.76510648695688,Healthcare,11-50,2,1,0
B2B00259,0,199,9,19,0,13,50,25,1,58.81071496366346,Technology,51-200,2,0,0
B2B00260,0,499,12,24,22,53,5,2,1,84.09228004752856,Retail,11-50,1,0,0
B2B00261,1,4999,4,30,0,301,5,4,3,92.39433520779839,Technology,51-200,2,1,0
B2B00262,0,99,1,23,13,443,5,4,1,74.31185192898346,Finance,11-50,3,1,0
B2B00263,0,199,11,29,0,275,5,3,4,85.89664892789938,Finance,201-1000,2,1,1
B2B00264,1,99,3,25,11,84,100,49,0,61.53850268654014,Technology,201-1000,0,1,0
B2B00265,0,99,10,28,19,18,5,3,3,77.27435181370511,Retail,201-1000,4,1,0
B2B00266,0,499,14,27,6,6,25,12,0,87.86326715479107,Other,201-1000,6,1,0
B2B00267,0,99,18,25,25,31,25,23,1,93.59356039313394,Finance,201-1000,0,1,0
B2B00268,0,99,11,19,2,122,100,88,3,82.49950710867293,Retail,201-1000,0,1,0
B2B00269,0,99,16,30,3,147,5,4,0,89.17407957438515,Retail,1-10,0,1,0
B2B00270,0,99,3,29,4,11,50,43,1,72.39654357385938,Retail,11-50,3,0,0
B2B00271,0,199,3,22,3,1082,5,4,1,86.57594577363218,Technology,11-50,0,1,0
B2B00272,0,99,5,27,8,401,10,6,1,88.68602188101441,Finance,11-50,1,1,0
B2B00273,0,499,37,22,11,1222,5,3,5,91.7251888742372,Retail,11-50,1,1,0
B2B00274,0,4999,3,26,1,3,50,33,0,69.55768195396071,Technology,1-10,0,1,0
B2B00275,0,1999,7,26,14,1744,5,4,4,59.07723886043457,Healthcare,1000+,1,1,0
B2B00276,0,499,8,31,5,4086,10,4,2,91.10313013269136,Technology,1-10,1,1,0
B2B00277,0,199,13,26,27,6,50,45,1,86.18795227292141,Healthcare,51-200,2,1,0
B2B00278,0,999,13,25,5,83,5,2,5,57.04755437064709,Other,201-1000,1,0,1
B2B00279,0,1999,6,19,13,1524,5,2,1,68.80027010913061,Healthcare,11-50,2,1,0
B2B00280,0,199,11,20,7,17,10,4,1,53.61972989317216,Other,201-1000,1,1,0
B2B00281,0,199,5,24,4,7,10,8,0,78.06828430495588,Retail,11-50,1,1,0
B2B00282,0,199,11,30,2,53,5,2,0,80.10154529590167,Healthcare,11-50,3,0,0
B2B00283,0,99,6,31,12,194,25,16,2,81.2097728589341,Technology,201-1000,2,0,0
B2B00284,0,199,4,33,5,459,10,8,1,87.98050365560215,Healthcare,1-10,4,1,0
B2B00285,0,499,5,28,2,152,5,4,3,93.8646566541594,Healthcare,51-200,2,1,0
B2B00286,0,199,10,20,2,78244,5,2,5,80.11304881112477,Healthcare,51-200,1,1,0
B2B00287,0,4999,10,26,8,1746,25,18,4,44.75618037874659,Technology,1-10,1,0,0
B2B00288,0,199,29,23,2,267,10,8,0,60.59107643382254,Retail,11-50,2,1,0
B2B00289,0,499,18,20,0,6072,100,91,3,76.25958567299968,Other,1-10,4,0,0
B2B00290,0,99,25,29,4,435,5,2,3,43.187145787325655,Healthcare,201-1000,1,1,0
B2B00291,0,199,7,25,1,19,5,3,3,66.62243282383244,Healthcare,51-200,2,1,0
B2B00292,0,99,13,24,46,866,5,3,4,86.80057212652152,Retail,11-50,2,0,0
B2B00293,1,199,4,24,10,73,25,16,2,79.2535767333236,Healthcare,1-10,1,1,0
B2B00294,0,199,9,13,12,1350,5,2,1,90.42108653922267,Finance,201-1000,2,1,0
