mens,womens,recency,history,zip_code,newbie,channel,visit,conversion,spend
0,0,6,313.01857351716995,Suburban,1,Multichannel,0,0,0.0
0,0,11,42.630226670236716,Urban,1,Multichannel,1,0,0.0
0,1,7,121.02791494807066,Rural,0,Web,0,0,0.0
0,1,1,33.18125256232349,Urban,0,Multichannel,1,0,0.0
1,0,8,123.92403062816766,Suburban,0,Web,1,0,0.0
0,0,12,10.823243360101959,Urban,1,Web,1,0,0.0
1,0,1,12.85843910279359,Suburban,1,Web,1,0,0.0
1,0,6,657.524027242972,Suburban,1,Web,0,0,0.0
0,0,6,259.0456850495722,Suburban,0,Phone,0,0,0.0
1,0,10,284.12471936475214,Suburban,0,Multichannel,0,0,0.0
0,1,1,148.2126087557764,Suburban,0,Multichannel,0,0,0.0
1,0,12,802.6815500790855,Rural,1,Web,1,0,0.0
1,0,11,309.66400866428927,Suburban,1,Web,0,0,0.0
0,0,5,17.156524387937168,Urban,0,Phone,0,0,0.0
0,1,5,372.45936723313577,Rural,0,Multichannel,0,0,0.0
0,0,12,119.49732278001942,Rural,0,Web,0,0,0.0
0,0,11,21.87874873832833,Urban,0,Phone,0,0,0.0
1,0,4,356.1510279426109,Rural,0,Web,0,0,0.0
0,1,9,92.77519369942414,Rural,1,Multichannel,0,0,0.0
1,0,11,297.09888601107434,Suburban,0,Phone,0,0,0.0
0,1,4,23.552816546694526,Suburban,1,Phone,0,0,0.0
0,0,1,369.11155382259324,Suburban,0,Web,0,0,0.0
0,1,10,38.207435340028574,Suburban,0,Phone,0,0,0.0
1,0,1,135.55522366479178,Urban,0,Web,1,0,0.0
1,0,11,183.88184665490036,Rural,0,Web,0,0,0.0
1,0,5,298.3280883992605,Urban,0,Web,0,0,0.0
0,1,7,75.13487818715248,Suburban,0,Multichannel,0,0,0.0
1,0,4,170.19463948912235,Suburban,1,Multichannel,0,0,0.0
0,1,8,260.30192102596936,Suburban,0,Web,0,0,0.0
0,0,2,244.48075559480895,Suburban,0,Web,1,0,0.0
1,0,9,112.37290084696706,Rural,0,Multichannel,0,0,0.0
1,0,2,66.59377789952309,Suburban,0,Web,0,0,0.0
1,0,5,224.70653255552543,Rural,1,Web,0,0,0.0
0,1,6,21.681965434266004,Urban,1,Multichannel,0,0,0.0
0,1,2,763.7837503107077,Urban,1,Web,1,0,0.0
0,0,6,129.13656220914314,Rural,0,Web,0,0,0.0
0,0,1,69.03068332759321,Urban,1,Web,1,0,0.0
0,0,11,787.0947367022461,Suburban,0,Web,0,0,0.0
1,0,3,664.6161637245102,Suburban,1,Phone,1,0,0.0
0,1,10,42.29265781255092,Suburban,1,Phone,0,0,0.0
1,0,7,745.309154397917,Rural,0,Phone,0,0,0.0
1,0,3,87.49028455068672,Rural,1,Phone,0,0,0.0
1,0,5,827.6399924758575,Suburban,1,Web,1,0,0.0
0,0,8,212.3172666724445,Urban,0,Multichannel,0,0,0.0
0,1,6,156.54345743041827,Suburban,0,Multichannel,0,0,0.0
0,0,7,52.437861115347516,Urban,0,Web,1,0,0.0
1,0,11,27.70709642104745,Urban,0,Web,0,0,0.0
1,0,6,10.0,Urban,1,Web,0,0,0.0
0,1,1,57.77532309302696,Suburban,0,Web,0,0,0.0
1,0,5,129.4630569885074,Suburban,0,Web,0,0,0.0
0,0,5,245.22571383631814,Suburban,0,Web,1,0,0.0
0,0,1,231.5703551176479,Suburban,0,Multichannel,0,0,0.0
0,1,12,137.71596066558268,Urban,0,Web,0,0,0.0
0,0,11,1451.0339432151159,Suburban,1,Multichannel,0,0,0.0
1,0,11,204.9910817909731,Urban,1,Web,0,0,0.0
1,0,4,94.56561601813189,Suburban,1,Multichannel,0,0,0.0
0,0,12,617.5470324257444,Urban,0,Web,0,0,0.0
0,1,10,89.41845510091512,Suburban,0,Web,0,0,0.0
0,1,11,289.74971007662225,Suburban,1,Phone,0,0,0.0
0,0,8,174.0660760478262,Suburban,1,Multichannel,0,0,0.0
0,1,1,536.4904565707876,Suburban,1,Web,0,0,0.0
0,1,1,1000.7021951669053,Suburban,0,Phone,1,1,32.91072524182301
1,0,7,102.94910239297768,Urban,0,Web,0,0,0.0
0,1,1,15.43710772748468,Suburban,1,Web,0,0,0.0
0,1,12,121.98319197011467,Suburban,0,Phone,0,0,0.0
0,0,1,36.862964143814025,Urban,0,Phone,0,0,0.0
0,0,8,375.77708376271204,Suburban,1,Multichannel,0,0,0.0
0,1,9,53.50585489135929,Suburban,1,Multichannel,0,0,0.0
0,0,5,239.81737680214349,Suburban,0,Web,0,0,0.0
0,1,1,69.55123039928719,Suburban,1,Phone,0,0,0.0
0,0,12,209.11974661555368,Rural,0,Phone,0,0,0.0
1,0,4,297.13517692948665,Rural,0,Web,1,0,0.0
0,0,12,1292.0876990582904,Suburban,1,Phone,1,0,0.0
0,0,4,569.5503406005324,Urban,0,Multichannel,0,0,0.0
0,1,1,160.4543664240756,Suburban,0,Phone,1,0,0.0
0,1,12,52.91076993480791,Urban,0,Phone,0,0,0.0
1,0,1,241.07413064476935,Suburban,1,Web,0,0,0.0
0,1,11,60.30996079899673,Urban,0,Web,0,0,0.0
0,0,3,295.95335425515304,Suburban,0,Multichannel,0,0,0.0
0,1,3,155.0582013671563,Rural,0,Web,0,0,0.0
1,0,2,369.95660025872354,Suburban,1,Web,0,0,0.0
0,1,5,509.35351792620213,Urban,0,Multichannel,0,0,0.0
0,1,2,96.3710854262198,Suburban,0,Multichannel,0,0,0.0
0,1,1,268.8195146130131,Rural,1,Web,0,0,0.0
0,1,4,153.2501381493392,Suburban,0,Web,1,0,0.0
0,0,5,132.91878248988792,Urban,0,Web,0,0,0.0
0,0,12,71.88440204185015,Suburban,0,Multichannel,0,0,0.0
1,0,11,14.72009123021234,Urban,0,Web,0,0,0.0
1,0,5,82.67434336151845,Suburban,0,Web,0,0,0.0
1,0,1,230.22249937780558,Suburban,0,Web,0,0,0.0
0,0,7,110.9034294598186,Suburban,0,Web,0,0,0.0
1,0,4,97.33790914521198,Urban,0,Multichannel,0,0,0.0
0,1,3,118.82073772955934,Suburban,1,Web,1,0,0.0
1,0,11,25.77169226885069,Rural,1,Web,0,0,0.0
1,0,4,105.53521404367876,Urban,0,Web,0,0,0.0
0,1,3,184.91452063144206,Urban,0,Phone,0,0,0.0
0,1,2,296.82318458217134,Urban,0,Multichannel,0,0,0.0
0,0,4,135.6477730856083,Suburban,0,Multichannel,0,0,0.0
0,0,12,147.08977957767758,Suburban,0,Web,1,1,33.217621297823285
1,0,4,49.31631927445736,Suburban,1,Web,0,0,0.0
1,0,11,249.17162131001373,Suburban,0,Web,0,0,0.0
1,0,4,174.3246166170621,Urban,0,Multichannel,1,0,0.0
0,1,5,57.17295608300051,Rural,0,Multichannel,0,0,0.0
0,0,3,101.39668472380367,Suburban,1,Multichannel,0,0,0.0
1,0,12,241.99433900916932,Suburban,0,Multichannel,0,0,0.0
0,0,2,92.5662257969327,Suburban,0,Phone,0,0,0.0
0,0,2,34.36217410829824,Rural,0,Web,0,0,0.0
1,0,12,39.45041649745845,Suburban,1,Web,0,0,0.0
1,0,10,153.77827040177763,Rural,0,Phone,1,0,0.0
0,0,5,215.52964721359746,Suburban,0,Phone,0,0,0.0
1,0,11,187.9699694198716,Urban,0,Web,0,0,0.0
0,1,9,217.88583701788937,Rural,0,Web,0,0,0.0
1,0,12,93.8552560673308,Urban,0,Web,0,0,0.0
1,0,1,10.0,Suburban,1,Multichannel,0,0,0.0
0,0,11,1428.2125226286548,Suburban,0,Phone,0,0,0.0
0,1,11,38.29708669182355,Suburban,1,Web,0,0,0.0
0,0,12,157.67398538333975,Suburban,0,Multichannel,1,0,0.0
0,1,3,171.8112731966761,Urban,0,Multichannel,0,0,0.0
0,1,10,17.40677368673809,Urban,0,Multichannel,0,0,0.0
0,1,11,35.62922738394477,Urban,1,Web,1,0,0.0
1,0,1,27.881371921544016,Rural,0,Phone,0,0,0.0
1,0,9,96.51029933406245,Rural,0,Web,0,0,0.0
1,0,12,312.8206945079689,Suburban,0,Multichannel,0,0,0.0
0,0,7,166.50076090183367,Rural,0,Multichannel,0,0,0.0
0,0,4,826.4920996295199,Urban,0,Multichannel,1,0,0.0
0,1,3,37.239216548806546,Urban,0,Multichannel,0,0,0.0
0,0,11,207.10742384807537,Suburban,0,Multichannel,0,0,0.0
1,0,7,28.381356775830863,Urban,0,Web,0,0,0.0
0,1,10,105.54981638092138,Urban,0,Web,0,0,0.0
1,0,12,183.1287633510358,Suburban,0,Web,0,0,0.0
0,1,12,155.53838837145463,Suburban,1,Multichannel,0,0,0.0
0,0,1,656.4821503823941,Urban,0,Web,0,0,0.0
0,1,12,334.34365061796547,Suburban,0,Multichannel,1,0,0.0
0,1,5,108.43376798991908,Urban,0,Web,1,0,0.0
0,0,12,153.9103253384664,Suburban,1,Multichannel,0,0,0.0
0,1,12,176.3630552274284,Suburban,0,Phone,0,0,0.0
1,0,1,789.4260801277929,Suburban,0,Web,0,0,0.0
0,0,3,70.75212140720498,Rural,0,Phone,1,1,17.3326987627777
0,1,2,695.7782710994619,Rural,0,Multichannel,0,0,0.0
0,0,4,45.92198451582746,Suburban,0,Web,0,0,0.0
1,0,12,919.8647145855618,Suburban,0,Phone,0,0,0.0
0,1,1,49.91598243024053,Suburban,0,Multichannel,0,0,0.0
1,0,8,237.37361851598618,Urban,1,Web,0,0,0.0
0,1,4,135.36892400045525,Suburban,0,Web,0,0,0.0
0,1,4,34.62461415413861,Suburban,1,Web,0,0,0.0
0,0,4,38.84413718792247,Suburban,0,Phone,0,0,0.0
1,0,1,783.5706641042987,Urban,0,Multichannel,0,0,0.0
0,0,2,223.3774401978304,Suburban,1,Phone,0,0,0.0
0,1,5,312.98665163598656,Suburban,0,Phone,0,0,0.0
0,0,6,200.9443240755242,Rural,1,Multichannel,0,0,0.0
1,0,1,897.0885281798786,Suburban,0,Web,0,0,0.0
0,0,1,210.88099889442657,Suburban,1,Multichannel,1,0,0.0
1,0,1,337.8477692026887,Urban,0,Multichannel,1,1,10.0
0,0,4,189.5186915531159,Urban,0,Web,0,0,0.0
0,1,2,146.46966404815038,Suburban,0,Web,1,0,0.0
0,0,6,44.4948431469878,Suburban,0,Web,1,1,10.749204305072587
0,1,9,62.27277141117791,Urban,0,Web,0,0,0.0
0,1,1,114.06097785603515,Suburban,0,Multichannel,0,0,0.0
0,1,5,106.88656043783193,Urban,0,Multichannel,0,0,0.0
1,0,1,10.0,Urban,0,Multichannel,0,0,0.0
0,0,12,142.98419335938257,Rural,0,Phone,1,0,0.0
0,1,11,16.476420316931264,Rural,0,Multichannel,0,0,0.0
0,1,7,179.1355866013762,Urban,0,Web,1,0,0.0
0,0,8,233.67869373066569,Urban,0,Web,0,0,0.0
0,1,7,61.298048826593806,Urban,0,Web,0,0,0.0
0,1,1,136.96471992057815,Urban,0,Phone,1,0,0.0
1,0,11,54.2161589262326,Urban,0,Multichannel,0,0,0.0
0,0,5,165.65237740243595,Suburban,0,Phone,0,0,0.0
1,0,11,45.53762680171708,Suburban,0,Multichannel,1,0,0.0
1,0,11,201.07705157037714,Rural,0,Web,0,0,0.0
0,0,3,22.958207222286497,Suburban,0,Phone,0,0,0.0
0,1,12,255.47453489431587,Suburban,0,Multichannel,0,0,0.0
1,0,2,173.24376549255663,Rural,0,Web,0,0,0.0
1,0,3,322.01640883210456,Urban,0,Multichannel,0,0,0.0
0,0,11,61.44170426386967,Suburban,1,Phone,1,0,0.0
0,1,11,53.13624829886861,Suburban,0,Multichannel,0,0,0.0
1,0,12,937.7539279483997,Suburban,0,Phone,0,0,0.0
1,0,3,87.93829370329195,Suburban,0,Phone,0,0,0.0
1,0,2,185.87773129556615,Rural,1,Web,1,0,0.0
0,0,4,40.31973141081004,Urban,0,Web,0,0,0.0
0,1,2,450.16290597936296,Urban,0,Web,1,0,0.0
0,0,7,31.955744337903017,Urban,1,Web,0,0,0.0
0,0,3,158.43358907842142,Rural,0,Web,1,0,0.0
0,0,12,186.27976182176167,Suburban,0,Multichannel,1,0,0.0
0,1,1,61.17957639030426,Suburban,0,Multichannel,0,0,0.0
0,0,12,1418.4342774893576,Suburban,0,Web,0,0,0.0
0,1,1,11.28773518169116,Urban,1,Web,1,0,0.0
0,1,5,411.41562448052076,Rural,0,Multichannel,0,0,0.0
0,0,3,145.30474375515348,Suburban,0,Multichannel,0,0,0.0
0,1,4,89.88216129964692,Rural,0,Web,0,0,0.0
0,0,3,51.97819817469337,Suburban,1,Multichannel,0,0,0.0
0,1,8,67.9226364368989,Suburban,0,Web,0,0,0.0
0,1,11,654.1188205917928,Rural,0,Multichannel,0,0,0.0
0,1,10,1475.3422560303652,Rural,0,Phone,0,0,0.0
1,0,2,217.3322696114693,Urban,0,Web,1,0,0.0
0,1,2,439.59864329689975,Rural,0,Multichannel,0,0,0.0
0,0,7,190.1405034716772,Suburban,0,Phone,0,0,0.0
0,0,5,105.0417254383617,Suburban,0,Multichannel,0,0,0.0
1,0,3,460.08116184547663,Suburban,0,Web,0,0,0.0
0,1,11,109.90239765471156,Urban,0,Web,0,0,0.0
0,1,2,60.789853672452615,Rural,1,Web,0,0,0.0
0,1,2,1032.4646731377527,Suburban,0,Web,0,0,0.0
0,1,1,54.49411664117049,Suburban,0,Web,0,0,0.0
0,1,4,170.60046967567246,Suburban,0,Web,0,0,0.0
0,1,1,41.404090723150006,Suburban,1,Phone,0,0,0.0
0,1,8,420.87691118576794,Rural,0,Phone,0,0,0.0
1,0,1,61.73464728827437,Suburban,1,Phone,1,0,0.0
0,1,12,94.17537990054008,Urban,0,Multichannel,0,0,0.0
0,1,2,10.0,Suburban,1,Multichannel,0,0,0.0
0,1,2,47.06878057586713,Suburban,0,Multichannel,0,0,0.0
1,0,1,100.95627269252324,Urban,1,Multichannel,0,0,0.0
0,1,12,348.6651675255772,Suburban,0,Web,1,0,0.0
0,0,7,446.1964584433389,Suburban,0,Multichannel,0,0,0.0
1,0,12,257.7472366609845,Suburban,0,Web,0,0,0.0
0,0,9,85.01837554694403,Urban,0,Multichannel,0,0,0.0
0,1,5,483.3451059802822,Urban,0,Web,0,0,0.0
0,1,4,60.73003405297865,Rural,0,Web,1,0,0.0
1,0,12,260.20915118893487,Suburban,0,Multichannel,0,0,0.0
0,1,2,172.454813668454,Suburban,0,Web,1,1,17.64312509814205
0,1,4,102.44454721873021,Suburban,0,Phone,0,0,0.0
0,1,8,81.35518439401102,Suburban,0,Multichannel,1,0,0.0
0,0,9,40.725416615927756,Rural,1,Web,0,0,0.0
0,0,6,648.583544296048,Suburban,0,Phone,0,0,0.0
0,0,12,50.317155707719145,Rural,0,Web,0,0,0.0
1,0,12,65.03601748958178,Suburban,1,Phone,0,0,0.0
0,0,6,131.92012628174,Urban,0,Web,0,0,0.0
0,0,2,79.0346276936972,Suburban,0,Web,0,0,0.0
0,0,6,49.8232259637872,Suburban,0,Web,1,0,0.0
0,1,12,468.48649592859624,Suburban,0,Web,0,0,0.0
0,0,5,36.59532586663129,Suburban,1,Phone,1,0,0.0
0,0,4,361.92155214163853,Rural,0,Phone,0,0,0.0
1,0,11,55.98875993442449,Suburban,1,Multichannel,0,0,0.0
1,0,8,26.479368415658886,Suburban,0,Phone,0,0,0.0
0,0,12,984.0566344695185,Suburban,0,Multichannel,0,0,0.0
0,1,6,89.8715581703998,Rural,1,Web,0,0,0.0
1,0,11,34.998124446807665,Urban,0,Web,0,0,0.0
1,0,6,112.37308360991551,Suburban,0,Web,0,0,0.0
0,0,1,165.95991992231342,Suburban,0,Web,1,0,0.0
1,0,1,77.37600256680173,Urban,0,Multichannel,0,0,0.0
1,0,3,167.37743226823582,Urban,1,Web,0,0,0.0
0,1,2,57.54133150402162,Suburban,0,Web,1,0,0.0
0,1,12,440.6509851124872,Suburban,1,Phone,0,0,0.0
0,1,11,183.34325633891936,Suburban,0,Multichannel,0,0,0.0
0,1,1,314.3982760716251,Rural,1,Web,0,0,0.0
0,0,3,56.34640369271763,Rural,0,Multichannel,0,0,0.0
0,0,3,234.68481813795484,Suburban,0,Web,0,0,0.0
0,0,11,56.53506900536947,Urban,0,Web,0,0,0.0
0,1,5,460.2347533339177,Rural,0,Web,0,0,0.0
0,1,5,17.2222131687043,Urban,0,Web,0,0,0.0
1,0,12,398.17679412941345,Rural,0,Phone,0,0,0.0
1,0,12,310.29255282583307,Suburban,0,Multichannel,0,0,0.0
0,0,1,167.3909737120959,Urban,0,Web,0,0,0.0
0,0,2,36.74651853227264,Rural,0,Multichannel,0,0,0.0
0,0,2,53.06699952474289,Rural,0,Multichannel,1,1,86.3207342928479
0,1,12,260.0519184304467,Rural,0,Phone,0,0,0.0
0,1,9,367.16367639760597,Suburban,0,Web,1,0,0.0
0,1,6,141.4622013670878,Suburban,1,Multichannel,0,0,0.0
0,1,3,71.99048193914585,Urban,0,Phone,0,0,0.0
1,0,2,130.52383882068983,Suburban,0,Phone,0,0,0.0
0,1,1,128.0096872571403,Suburban,0,Phone,0,0,0.0
0,1,2,61.19568469762722,Suburban,0,Web,0,0,0.0
0,1,9,58.80522344214518,Urban,0,Multichannel,0,0,0.0
0,1,2,524.2104666353532,Suburban,0,Multichannel,1,1,71.5003293082746
1,0,5,40.03189912548732,Rural,1,Web,0,0,0.0
0,0,5,293.40651729997586,Urban,0,Phone,0,0,0.0
0,1,11,52.07531321096863,Urban,0,Multichannel,0,0,0.0
0,0,11,31.67508604975794,Rural,1,Phone,0,0,0.0
0,0,1,75.81030742502219,Urban,0,Phone,0,0,0.0
0,1,1,143.44732301573703,Urban,1,Web,0,0,0.0
1,0,5,424.2449508721682,Rural,0,Web,0,0,0.0
1,0,12,197.38434476092235,Urban,0,Multichannel,0,0,0.0
1,0,11,219.39010184899544,Suburban,0,Phone,0,0,0.0
0,0,4,66.7582481229729,Suburban,0,Web,1,0,0.0
1,0,1,58.390444648755256,Rural,0,Multichannel,0,0,0.0
1,0,11,287.0018525365161,Rural,1,Phone,0,0,0.0
0,0,1,228.85328574501565,Suburban,0,Web,1,0,0.0
0,0,3,214.80787101486754,Suburban,0,Web,0,0,0.0
0,1,12,88.40900717300428,Urban,0,Multichannel,0,0,0.0
1,0,2,275.9988204715521,Urban,0,Multichannel,0,0,0.0
0,1,11,174.39208557490178,Suburban,1,Web,1,0,0.0
0,0,2,588.6429766253208,Suburban,0,Phone,1,1,65.32883016824452
1,0,11,213.23650391087344,Urban,0,Phone,0,0,0.0
0,0,3,231.86433926395864,Rural,0,Phone,0,0,0.0
0,0,2,14.990164145960362,Urban,0,Web,0,0,0.0
0,1,3,82.7466310824615,Rural,0,Web,0,0,0.0
0,1,2,127.09821405735079,Suburban,0,Web,0,0,0.0
0,0,12,518.5034974152439,Suburban,0,Web,0,0,0.0
0,1,1,75.37296649992986,Rural,0,Web,0,0,0.0
0,1,7,83.20309080574212,Suburban,1,Web,0,0,0.0
1,0,1,126.94099461546269,Urban,0,Web,0,0,0.0
1,0,4,603.4044874412623,Suburban,0,Multichannel,0,0,0.0
0,1,3,397.35068906671796,Rural,1,Web,0,0,0.0
0,0,7,289.6432306357407,Rural,0,Phone,1,0,0.0
1,0,4,32.06698459882319,Suburban,0,Web,0,0,0.0
0,1,3,100.6277082455662,Suburban,0,Phone,0,0,0.0
1,0,1,494.0849044987977,Suburban,0,Multichannel,0,0,0.0
0,1,9,302.56977423346933,Suburban,0,Web,0,0,0.0
0,1,9,275.7149849402829,Rural,0,Multichannel,1,0,0.0
0,0,5,75.39395942596245,Urban,0,Web,1,1,14.080458059466686
1,0,3,779.5696938355785,Suburban,0,Web,0,0,0.0
1,0,10,554.9098202721963,Suburban,0,Phone,0,0,0.0
0,1,12,210.61861216010038,Urban,0,Multichannel,0,0,0.0
0,1,5,49.726757237504,Urban,0,Web,0,0,0.0
0,0,11,651.5408017040636,Urban,0,Multichannel,0,0,0.0
0,1,7,308.154772834052,Rural,1,Web,0,0,0.0
0,1,6,125.33850458513075,Rural,0,Phone,0,0,0.0
0,0,7,211.2550351575335,Suburban,0,Multichannel,1,0,0.0
0,1,6,90.5456576835815,Suburban,0,Multichannel,1,1,16.430532907290814
0,1,7,204.31926384903736,Suburban,1,Multichannel,0,0,0.0
1,0,12,476.6653208772087,Rural,0,Multichannel,0,0,0.0
0,0,12,124.25498947047565,Urban,0,Multichannel,1,0,0.0
0,1,2,112.07747512004418,Suburban,0,Web,0,0,0.0
1,0,1,23.105414878482343,Urban,0,Web,1,0,0.0
0,1,1,107.09899611022321,Suburban,0,Phone,0,0,0.0
0,1,4,124.05633876813434,Suburban,0,Multichannel,1,0,0.0
1,0,11,85.03146876764313,Urban,0,Web,0,0,0.0
0,0,8,113.0506403305836,Urban,0,Phone,0,0,0.0
0,0,7,338.7373640228999,Rural,0,Web,1,0,0.0
1,0,10,21.494401863532858,Suburban,0,Web,1,0,0.0
0,1,1,19.243964907250785,Urban,0,Multichannel,1,1,10.0
0,1,11,16.042736757182446,Rural,0,Phone,0,0,0.0
0,0,3,1650.835751324748,Urban,1,Multichannel,0,0,0.0
0,1,11,236.84784887188687,Urban,1,Phone,0,0,0.0
0,1,11,195.9030372447594,Suburban,0,Web,1,1,47.26661075323222
0,0,9,135.45311061160592,Suburban,0,Web,0,0,0.0
0,0,2,56.40451252794329,Suburban,1,Web,0,0,0.0
0,1,4,21.65068955268404,Urban,0,Web,0,0,0.0
0,0,1,5000.0,Suburban,0,Multichannel,1,1,42.11125006654148
0,1,5,54.317204011965764,Suburban,0,Web,0,0,0.0
0,1,6,273.0402981589379,Suburban,0,Multichannel,0,0,0.0
0,1,1,67.56933908767127,Suburban,0,Web,0,0,0.0
0,1,6,196.84638460671857,Urban,0,Phone,0,0,0.0
0,1,4,89.04774507755046,Urban,0,Phone,0,0,0.0
0,0,7,85.22967665636786,Urban,1,Web,0,0,0.0
0,0,11,115.90378018818214,Rural,0,Web,0,0,0.0
1,0,3,327.1865933243394,Urban,1,Multichannel,0,0,0.0
0,1,6,840.4427845870268,Urban,0,Multichannel,0,0,0.0
1,0,3,126.53465298968946,Urban,0,Multichannel,1,0,0.0
1,0,11,95.5583008632562,Suburban,1,Web,0,0,0.0
0,1,7,36.26114494991629,Suburban,0,Web,0,0,0.0
0,1,2,165.22267487650734,Suburban,0,Web,0,0,0.0
1,0,12,169.90692726769896,Suburban,0,Phone,1,0,0.0
1,0,3,397.514972930775,Rural,0,Multichannel,0,0,0.0
1,0,4,292.30569656374604,Urban,1,Web,0,0,0.0
0,0,9,3337.914924256406,Urban,0,Phone,0,0,0.0
1,0,12,71.63329329093521,Suburban,0,Web,0,0,0.0
1,0,3,243.63180230818676,Rural,0,Web,0,0,0.0
0,0,3,292.5878864514721,Suburban,0,Web,0,0,0.0
0,0,1,181.0622739795831,Urban,0,Phone,0,0,0.0
1,0,4,301.60629619523365,Urban,0,Phone,1,0,0.0
0,0,8,375.8540906786413,Suburban,1,Multichannel,0,0,0.0
1,0,9,27.998881097022405,Urban,0,Web,1,0,0.0
0,0,2,162.23636154905137,Urban,0,Phone,0,0,0.0
0,1,12,87.60913702479019,Rural,0,Multichannel,0,0,0.0
0,1,1,231.94696468824714,Suburban,1,Phone,0,0,0.0
0,0,5,32.40614657613128,Urban,0,Multichannel,0,0,0.0
1,0,5,22.77521963092569,Urban,0,Phone,0,0,0.0
1,0,4,1018.1600660190115,Rural,0,Web,1,1,28.862889470215027
1,0,6,36.90085119915467,Urban,0,Multichannel,0,0,0.0
0,1,1,172.52390238749774,Suburban,1,Multichannel,1,0,0.0
0,0,2,72.8589452398851,Rural,0,Multichannel,0,0,0.0
1,0,9,232.47219790264288,Urban,0,Web,1,0,0.0
1,0,2,409.7679045675004,Rural,0,Web,1,0,0.0
1,0,4,36.497301932059344,Suburban,0,Web,1,1,95.88951975175958
0,1,9,82.67453683110384,Rural,0,Web,0,0,0.0
0,1,11,179.95575708004503,Suburban,0,Web,0,0,0.0
1,0,6,332.16992088616945,Urban,0,Web,0,0,0.0
0,1,10,139.6117533770533,Suburban,1,Web,1,0,0.0
0,1,1,483.2171683527401,Suburban,0,Web,0,0,0.0
0,1,1,53.31578082381412,Urban,0,Web,0,0,0.0
1,0,2,1056.1148206743107,Urban,0,Web,0,0,0.0
0,1,10,341.74659128180264,Suburban,0,Phone,0,0,0.0
0,0,12,681.1146051138136,Suburban,0,Multichannel,0,0,0.0
0,0,8,601.2692327419813,Suburban,0,Multichannel,0,0,0.0
0,1,1,145.29504460901427,Urban,0,Multichannel,1,0,0.0
0,1,12,598.9485171883081,Urban,0,Web,0,0,0.0
0,0,1,238.72272582011172,Suburban,0,Web,0,0,0.0
0,1,11,761.8766250066401,Suburban,0,Web,0,0,0.0
1,0,2,393.03955031175514,Rural,1,Web,0,0,0.0
0,1,2,832.8676667994799,Suburban,1,Web,0,0,0.0
1,0,7,195.67783466189965,Suburban,0,Multichannel,0,0,0.0
1,0,5,267.1624862830008,Urban,0,Web,1,1,35.69290387711597
0,0,2,10.0,Suburban,1,Multichannel,1,0,0.0
0,0,11,83.06973744920965,Urban,0,Phone,0,0,0.0
1,0,5,108.05063770923654,Suburban,0,Phone,0,0,0.0
1,0,7,339.9609213100075,Suburban,1,Phone,0,0,0.0
0,1,11,379.359145296905,Suburban,1,Multichannel,0,0,0.0
0,0,1,78.96199039310666,Urban,0,Web,1,0,0.0
0,1,8,474.01166523460165,Urban,0,Web,0,0,0.0
1,0,4,132.27765876355656,Urban,1,Web,1,0,0.0
